,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39
0,0,836727,830332,1228034,847401,400228,407794,396850,830870,825690,835583,832831,821663,401056,405967,1223876,1230649,1237253,1240560,830444,830444,403443,9806,823504,1140370,393447,11962,831869,12097,397559,1240058,926677,467027,438500,840977,827161,827796,400659,835431,396046
1,836727,0,7506,408605,11118,955697,945118,960077,7983,10611,14278,8110,17317,963809,952617,404447,411220,417824,421131,8252,8248,957937,839543,13523,320941,965922,837062,14563,832119,965396,420629,90393,788071,875374,6814,14773,8893,956128,14146,959273
2,830332,7506,0,411605,19412,953559,943171,957939,3691,3495,11835,6489,9895,961671,950479,407447,414220,420824,424131,5261,5261,955799,830882,6076,323941,963784,828401,12835,823458,963258,423629,98689,785933,873236,12988,10726,3728,953990,9522,957135
3,1228034,408605,411605,0,413171,1363688,1353300,1368068,414229,411855,401946,415038,410005,1371800,1360608,6343,16468,19914,23112,415180,415176,1365928,1230803,410469,152163,1373913,1228322,402355,1223379,1373387,19976,487741,1196062,1283365,403210,404790,410829,1364119,423390,1367264
4,847401,11118,19412,413171,0,967483,957095,971863,19087,23611,16617,19896,29104,975595,964403,407904,414677,421281,424588,20038,20034,969723,849901,26272,324398,977708,847420,16830,842477,977182,424086,81515,799857,887160,10229,23888,20494,967914,25932,971059
5,400228,955697,953559,1363688,967483,0,19257,3656,956085,956438,966327,952090,959470,6960,9481,1365235,1368455,1375059,1378366,953072,953068,4038,404011,958290,1278176,12558,405267,967632,410525,10936,1377864,1038572,173893,94711,962324,964968,958223,541,946263,6223
6,407794,945118,943171,1353300,957095,19257,0,21461,940372,940725,950614,936377,947883,22833,11640,1350095,1358153,1364649,1366779,937359,937355,17916,412221,947880,1266589,28431,413477,956045,418735,26810,1367454,1022859,158753,79571,946611,953516,942510,21634,930550,24895
7,396850,960077,957939,1368068,971863,3656,21461,0,960553,960906,970795,956558,963938,10000,12561,1366150,1372923,1379527,1382834,957540,957536,7215,402089,962758,1282644,9462,403345,972100,408603,9994,1382332,1043040,182905,102765,966792,969436,962691,4218,950731,1942
8,830870,7983,3691,414229,19087,956085,940372,960553,0,6930,16823,5072,14040,961786,950594,412480,419361,425857,429164,3719,3719,955914,833637,8830,328974,963899,831156,18624,826213,963373,428662,97818,786048,873351,11910,15765,7368,954105,10950,957250
9,825690,10611,3495,411855,23611,956438,940725,960906,6930,0,9927,10829,10244,964985,953793,405764,412537,419141,422448,6924,6924,959113,828695,3904,322258,967098,826214,11231,821271,966572,421946,100773,789247,876550,15072,9043,1821,957304,12837,960449
10,835583,14278,11835,401946,16617,966327,950614,970795,16823,9927,0,17474,16889,971631,960439,399952,406725,413329,416636,16091,16091,965759,837568,13047,316446,973744,835087,4497,830144,973218,416134,96455,795893,883196,10755,11555,9615,963950,19482,967095
11,832831,8110,6489,415038,19896,952090,936377,956558,5072,10829,17474,0,14607,956929,945737,409180,415953,422557,425864,1267,1263,951057,835354,10547,325674,959042,832873,18261,827930,958516,425362,97455,781191,868494,11547,17482,10436,949248,7266,952393
12,821663,17317,9895,410005,29104,959470,947883,963938,14040,10244,16889,14607,0,968499,957307,402213,408986,415590,418897,10032,10032,962627,827502,2341,318707,970612,825021,10206,820078,970086,418395,105014,792761,880064,19314,5498,6133,960818,13392,963963
13,401056,963809,961671,1371800,975595,6960,22833,10000,961786,964985,971631,956929,968499,0,12234,1367990,1374871,1381367,1384674,955254,955250,8065,407581,964598,1284484,6478,408842,973940,414100,5191,1384172,1040754,176648,97466,964506,971411,960405,8539,948445,9158
14,405967,952617,950479,1360608,964403,9481,11640,12561,950594,953793,960439,945737,957307,12234,0,1359106,1364810,1372483,1374613,945193,945289,4529,411121,955814,1275600,17206,412377,965056,417635,15919,1374111,1030693,166687,87405,954445,962527,950344,10743,938384,14004
15,1223876,404447,407447,6343,407904,1365235,1350095,1366150,412480,405764,399952,409180,402213,1367990,1359106,0,19101,22456,25767,408838,408834,1359586,1224461,404127,143542,1367571,1221980,396013,1217037,1367045,25261,481399,1189720,1277023,396868,398448,404487,1357777,417048,1360922
16,1230649,411220,414220,16468,414677,1368455,1358153,1372923,419361,412537,406725,415953,408986,1374871,1364810,19101,0,9641,12952,420440,420436,1371189,1236064,415730,144044,1379174,1233583,407615,1228640,1378648,7452,493001,1201323,1288626,408470,410050,416089,1369380,428650,1372525
17,1237253,417824,420824,19914,421281,1375059,1364649,1379527,425857,419141,413329,422557,415590,1381367,1372483,22456,9641,0,5501,422142,422138,1372890,1237765,417431,146001,1380875,1235284,409317,1230341,1380349,4074,494703,1203024,1290327,410172,411752,417791,1371081,430351,1374226
18,1240560,421131,424131,23112,424588,1378366,1366779,1382834,429164,422448,416636,425864,418897,1384674,1374613,25767,12952,5501,0,429235,429231,1379983,1244858,424524,153093,1387968,1242377,416410,1237434,1387442,6639,501796,1210117,1297420,417265,418980,424884,1378174,437444,1381319
19,830444,8252,5261,415180,20038,953072,937359,957540,3719,6924,16091,1267,10032,955254,945193,408838,420440,422142,429235,0,0,952994,835497,10690,325819,960979,833016,18407,828073,960453,425507,97601,783128,870431,11692,17625,10579,951185,9203,954330
20,830444,8248,5261,415176,20034,953068,937355,957536,3719,6924,16091,1263,10032,955250,945289,408834,420436,422138,429231,0,0,952990,835493,10686,325815,960975,833012,18403,828069,960449,425503,97597,783124,870427,11688,17621,10575,951181,9199,954326
21,403443,957937,955799,1365928,969723,4038,17916,7215,955914,959113,965759,951057,962627,8065,4529,1359586,1371189,1372890,1379983,952994,952990,0,408029,959313,1279199,13879,409285,968655,414543,12592,1378887,1035469,171363,92181,959221,966126,955120,4178,943160,10678
22,9806,839543,830882,1230803,849901,404011,412221,402089,833637,828695,837568,835354,827502,407581,411121,1224461,1236064,1237765,1244858,835497,835493,408029,0,829433,1146299,397764,7033,837798,15523,401876,1245987,932606,471344,442817,846906,833090,833725,404976,841360,400363
23,823504,13523,6076,410469,26272,958290,947880,962758,8830,3904,13047,10547,2341,964598,955814,404127,415730,417431,424524,10690,10686,959313,829433,0,322067,965698,824249,10469,819306,965172,421755,103917,787847,875150,18217,8858,4358,955904,11437,959049
24,1140370,320941,323941,152163,324398,1278176,1266589,1282644,328974,322258,316446,325674,318707,1284484,1275600,143542,144044,146001,153093,325819,325815,1279199,1146299,322067,0,1286599,1141008,315041,1136065,1286073,147783,354122,1108748,1196051,315896,317611,323515,1276805,336076,1279950
25,393447,965922,963784,1373913,977708,12558,28431,9462,963899,967098,973744,959042,970612,6478,17206,1367571,1379174,1380875,1387968,960979,960975,13879,397764,965698,1286599,0,398945,979746,404203,4737,1389978,1046552,195522,108026,970304,977217,966203,13999,954243,7936
26,11962,837062,828401,1228322,847420,405267,413477,403345,831156,826214,835087,832873,825021,408842,412377,1221980,1233583,1235284,1242377,833016,833012,409285,7033,824249,1141008,398945,0,830076,8920,401632,1238265,924884,471100,442573,839184,825368,826003,404732,833638,400119
27,831869,14563,12835,402355,16830,967632,956045,972100,18624,11231,4497,18261,10206,973940,965056,396013,407615,409317,416410,18407,18403,968655,837798,10469,315041,979746,830076,0,825646,975654,411636,102609,798329,885632,16909,7057,13096,966386,25657,969531
28,12097,832119,823458,1223379,842477,410525,418735,408603,826213,821271,830144,827930,820078,414100,417635,1217037,1228640,1230341,1237434,828073,828069,414543,15523,819306,1136065,404203,8920,825646,0,406933,1242436,929055,476401,447874,843355,829539,830174,410033,837809,405420
29,397559,965396,963258,1373387,977182,10936,26810,9994,963373,966572,973218,958516,970086,5191,15919,1367045,1378648,1380349,1387442,960453,960449,12592,401876,965172,1286073,4737,401632,975654,406933,0,1388437,1045011,191679,104183,968763,975676,964662,12804,952702,6741
30,1240058,420629,423629,19976,424086,1377864,1367454,1382332,428662,421946,416134,425362,418395,1384172,1374111,25261,7452,4074,6639,425507,425503,1378887,1245987,421755,147783,1389978,1238265,411636,1242436,1388437,0,496086,1204407,1291710,411555,413135,419174,1372464,431734,1375609
31,926677,90393,98689,487741,81515,1038572,1022859,1043040,97818,100773,96455,97455,105014,1040754,1030693,481399,493001,494703,501796,97601,97597,1035469,932606,103917,354122,1046552,924884,102609,929055,1045011,496086,0,869903,957206,88430,102088,98694,1037960,104133,1041105
32,467027,788071,785933,1196062,799857,173893,158753,182905,786048,789247,795893,781191,792761,176648,166687,1189720,1201323,1203024,1210117,783128,783124,171363,471344,787847,1108748,195522,471100,798329,476401,191679,1204407,869903,0,90750,793633,796412,789532,182640,777572,185901
33,438500,875374,873236,1283365,887160,94711,79571,102765,873351,876550,883196,868494,880064,97466,87405,1277023,1288626,1290327,1297420,870431,870427,92181,442817,875150,1196051,108026,442573,885632,447874,104183,1291710,957206,90750,0,876517,879161,872416,98657,860456,101918
34,840977,6814,12988,403210,10229,962324,946611,966792,11910,15072,10755,11547,19314,964506,954445,396868,408470,410172,417265,11692,11688,959221,846906,18217,315896,970304,839184,16909,843355,968763,411555,88430,793633,876517,0,17624,15797,963218,21236,966363
35,827161,14773,10726,404790,23888,964968,953516,969436,15765,9043,11555,17482,5498,971411,962527,398448,410050,411752,418980,17625,17621,966126,833090,8858,317611,977217,825368,7057,829539,975676,413135,102088,796412,879161,17624,0,6064,960568,19838,963713
36,827796,8893,3728,410829,20494,958223,942510,962691,7368,1821,9615,10436,6133,960405,950344,404487,416089,417791,424884,10579,10575,955120,833725,4358,323515,966203,826003,13096,830174,964662,419174,98694,789532,872416,15797,6064,0,955667,11200,958812
37,400659,956128,953990,1364119,967914,541,21634,4218,954105,957304,963950,949248,960818,8539,10743,1357777,1369380,1371081,1378174,951185,951181,4178,404976,955904,1276805,13999,404732,966386,410033,12804,1372464,1037960,182640,98657,963218,960568,955667,0,945798,7549
38,835431,14146,9522,423390,25932,946263,930550,950731,10950,12837,19482,7266,13392,948445,938384,417048,428650,430351,437444,9203,9199,943160,841360,11437,336076,954243,833638,25657,837809,952702,431734,104133,777572,860456,21236,19838,11200,945798,0,947387
39,396046,959273,957135,1367264,971059,6223,24895,1942,957250,960449,967095,952393,963963,9158,14004,1360922,1372525,1374226,1381319,954330,954326,10678,400363,959049,1279950,7936,400119,969531,405420,6741,1375609,1041105,185901,101918,966363,963713,958812,7549,947387,0
